track_name,artists,energy,valence
BALMAIN,"Organize, ERAY067, Mansur",0.912,0.282
Oyunbozan,mor ve ötesi,0.866,0.632
Days Before Rodeo: The Prayer,Travis Scott,0.568,0.144
Whiplash,Hank Levy,0.786,0.862
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Justin Bieber, Future",0.641,0.445
EMPIRE - Slowed,Ogryzek,0.79,0.186
Stereo Love,"Edward Maya, Vika Jigulina",0.777,0.362
Gangsta's Paradise,2WEI,0.549,0.0868
Aşkım (By Volga Tamöz),Bengü,0.934,0.786
Yangın Var,Aydilge,0.903,0.826
Hovarda,Emel Müftüoğlu,0.682,0.917
Katula Katula,Davut Güloğlu,0.809,0.499
Aleni Aleni,Volkan Konak,0.839,0.58
Romeo et Juliette: Ah je veux vivre dans ce rêve,Maria Callas,0.181,0.173
Casta diva,Maria Callas,0.0858,0.0548
NUNCA MUDA?,"Scythermane, NXGHT!, MC Fabinho da Osk",0.957,0.0932
Pray For Me,"The Weeknd, Kendrick Lamar",0.678,0.196
Call Out My Name,The Weeknd,0.593,0.174
São Paulo (feat. Anitta),"The Weeknd, Anitta",0.658,0.553
Tatlıyla Balla,Yalın,0.691,0.923
Für Elise (Epic Trailer Version),Hidden Citizens,0.434,0.119
KNOCKA,YG,0.617,0.55
"Paint It, Black",The Rolling Stones,0.795,0.612
Ölümsüz,Motive,0.496,0.147
Should I Stay or Should I Go - Remastered,The Clash,0.836,0.82
Saygımdan,Bengü,0.661,0.618
Aşka Gel,Aydilge,0.855,0.847
Hayat Şaşırtır!,Aydilge,0.888,0.799
UZAK,"Ati242, Sagopa Kajmer",0.603,0.168
Savrulur Zaman,Kayra,0.882,0.429
OGUZ ALPER OKTEM,Organize,0.761,0.87
Tiki Taka Flow,Ati242,0.802,0.528
UK Rap,"Dave, Central Cee",0.674,0.726
Divane,Yaşar,0.837,0.634
Nerdeysen,Semiramis Pekkan,0.429,0.562
Alternative Outro,LUCKI,0.442,0.164
Tutmayan Kuponlarım var v1,Bitap,0.934,0.493
Kaş II,Yüzyüzeyken Konuşuruz,0.618,0.598
Active,"Asake, Travis Scott",0.54,0.507
Meyhaneci,Çelik,0.867,0.929
War Machine,AC/DC,0.718,0.531
Highway to Hell,AC/DC,0.913,0.423
Seven Nation Army,The White Stripes,0.446,0.278
She Likes Rock N Roll,AC/DC,0.651,0.587
Spoilin' for a Fight,AC/DC,0.823,0.387
Shoot to Thrill,AC/DC,0.904,0.48
Rock N Roll Train,AC/DC,0.931,0.697
Pump It,Black Eyed Peas,0.931,0.744
Trash,Motive,0.645,0.156
Kiralık Aşk (Sen misin İlacım?),Aydilge,0.805,0.811
Zehir,"Halvetimeşk, Cash Flow",0.61,0.26
Sevdim,Farah Zeynep Abdullah,0.439,0.131
Feet Don't Fail Me Now,Joy Crookes,0.84,0.568
Dönence,Barış Manço,0.775,0.45
Aşk Yok Olmaktır,Mabel Matiz,0.576,0.498
Sopa - Clup Remix,Hande Yener,0.931,0.536
Aşkın Ateşi,Hande Yener,0.639,0.961
GOOD CREDIT (with Kendrick Lamar),"Playboi Carti, Kendrick Lamar",0.679,0.397
Yaralı,Bengü,0.651,0.602
Broken (Are Little Victories by the Ship of Life),Krobak,0.778,0.215
Karikatür Komedya,Sagopa Kajmer,0.318,0.55
Pervane - Bana Ellerini Ver,Özdemir Erdoğan,0.476,0.527
Gökyüzünü Tutamam,Can Koç,0.671,0.637
Have a Drink on Me,AC/DC,0.889,0.424
Hell Ain't a Bad Place to Be,AC/DC,0.737,0.417
Kaybolurum Gülüşünde,İkilem,0.564,0.859
İlk Kural Saygı,"Killa Hakan, Ezhel, GRiNGO",0.846,0.587
Starboy,"The Weeknd, Daft Punk",0.587,0.486
Aldatıldık,"Jabbar, Deeperise",0.658,0.713
Tuscan Leather,Drake,0.681,0.296
POPSTAR - Popkek Edit,KÖFN,0.609,0.442
Dil Yaratmakta En Asil Silahları,Sagopa Kajmer,0.514,0.548
Yabancı,Sıla,0.638,0.335
Started From the Bottom,Drake,0.523,0.56
Worst Behavior,Drake,0.778,0.437
